================================================================================
EVOLUÇÃO DO ALGORITMO GENÉTICO
================================================================================

Geração | Melhor Fitness | Média Pop | Pior | Sem Melhoria
--------------------------------------------------------------------------------
     0 |        124.67 |    684.80 |  1744.5 |           0
     1 |        109.67 |    455.69 |  1087.3 |           0
     2 |        107.67 |    333.11 |   671.3 |           0
     5 |         69.00 |    204.48 |   365.8 |           0
    10 |         60.67 |    191.34 |   335.7 |           1
    15 |         73.17 |    180.25 |   339.2 |           1
    20 |         66.00 |    178.71 |   378.5 |           6
    25 |         28.00 |    168.12 |   343.2 |           0
    30 |         70.83 |    172.92 |   336.0 |           5
    35 |         47.83 |    168.63 |   363.8 |          10
    40 |         47.67 |    168.33 |   294.3 |          15
    45 |         60.67 |    165.76 |   312.5 |          20
    50 |         65.67 |    249.02 |  1505.5 |          25
    55 |         72.83 |    239.58 |   998.2 |          30
    60 |         54.67 |    236.57 |  1448.5 |          35
    65 |         58.50 |    247.48 |  1398.5 |          40
    70 |         60.33 |    259.47 |  1955.3 |          45
    75 |         63.50 |    256.08 |  1517.2 |          50
    80 |         51.83 |    266.57 |  1731.7 |          55
    85 |         80.50 |    251.48 |  1538.3 |          60
    90 |         62.17 |    244.80 |  1491.8 |          65
    95 |         47.33 |    247.61 |  1870.5 |          70
   100 |         76.83 |    242.44 |  1541.0 |          75
   105 |         54.67 |    257.67 |  1607.2 |          80
   110 |         59.33 |    237.17 |  1249.5 |          85
   115 |         49.50 |    254.54 |  1928.8 |          90
   120 |         59.83 |    242.50 |  1597.2 |          95
   123 |         70.50 |    245.65 |  1292.2 |          98
   124 |         70.33 |    219.76 |   898.5 |          99
   125 |         86.67 |    254.54 |  1925.7 |         100

